id,function_id,example_en,example_ko,elementary_recommended,source_id
56,CF-2015-3-2,Do you know (about) ... ?,,1,ncic_2015_eng_byeol14_hwp
57,CF-2015-3-2,Have you heard (about) ... ?,,0,ncic_2015_eng_byeol14_hwp
58,CF-2015-3-2,"You know ... (, don’t you)?",,0,ncic_2015_eng_byeol14_hwp
59,CF-2015-3-2,Are you aware (of) ... ?,,0,ncic_2015_eng_byeol14_hwp
60,CF-2015-3-3,I’m curious about ... .,,0,ncic_2015_eng_byeol14_hwp
61,CF-2015-3-3,I wonder ... .,,0,ncic_2015_eng_byeol14_hwp
62,CF-2015-3-3,I’d be (very) interested to know ... .,,0,ncic_2015_eng_byeol14_hwp
63,CF-2015-3-3,Can someone tell me about ... ?,,0,ncic_2015_eng_byeol14_hwp
64,CF-2015-3-4,I don’t know.,,1,ncic_2015_eng_byeol14_hwp
65,CF-2015-3-4,I have no idea.,,1,ncic_2015_eng_byeol14_hwp
66,CF-2015-3-4,I haven’t got a clue.,,0,ncic_2015_eng_byeol14_hwp
67,CF-2015-3-5,I (don’t/can’t) remember ... .,,0,ncic_2015_eng_byeol14_hwp
68,CF-2015-3-5,I (nearly/completely) forgot (about that).,,0,ncic_2015_eng_byeol14_hwp
69,CF-2015-3-5,I’ll never forget ... .,,0,ncic_2015_eng_byeol14_hwp
70,CF-2015-3-6,(Do/Don’t you) remember ... ?,,0,ncic_2015_eng_byeol14_hwp
71,CF-2015-3-6,I wonder if you remember ... .,,0,ncic_2015_eng_byeol14_hwp
72,CF-2015-3-6,"You haven’t forgotten about ..., have you?",,0,ncic_2015_eng_byeol14_hwp
73,CF-2015-3-7,Remember to ... .,,0,ncic_2015_eng_byeol14_hwp
74,CF-2015-3-7,Remind me to ... .,,0,ncic_2015_eng_byeol14_hwp
75,CF-2015-3-7,Don’t forget to ... .,,0,ncic_2015_eng_byeol14_hwp
76,CF-2015-3-8,I’m sure.,,1,ncic_2015_eng_byeol14_hwp
77,CF-2015-3-8,Are you sure/certain about ... ?,,0,ncic_2015_eng_byeol14_hwp
78,CF-2015-3-8,I have no doubt.,,0,ncic_2015_eng_byeol14_hwp
79,CF-2015-3-8,I’m (not) (quite/fairly/absolutely) sure/certain ... .,,0,ncic_2015_eng_byeol14_hwp
80,CF-2015-3-8,How sure are you that ... ?,,0,ncic_2015_eng_byeol14_hwp
81,CF-2015-4-1,May/Can John ... ?,,0,ncic_2015_eng_byeol14_hwp
82,CF-2015-4-1,Is Mary likely to ... ?,,0,ncic_2015_eng_byeol14_hwp
83,CF-2015-4-1,Is it probable/likely/possible/ impossible that ... ?,,0,ncic_2015_eng_byeol14_hwp
84,CF-2015-4-2,... may/can be changed.,,0,ncic_2015_eng_byeol14_hwp
85,CF-2015-4-2,Perhaps/Possibly/Maybe they will ... .,,0,ncic_2015_eng_byeol14_hwp
86,CF-2015-4-2,They should/ought to ... .,,0,ncic_2015_eng_byeol14_hwp
87,CF-2015-4-2,It is probable/likely/possible/ impossible that ... .,,0,ncic_2015_eng_byeol14_hwp
88,CF-2015-4-3,Must I ... ?,,0,ncic_2015_eng_byeol14_hwp
89,CF-2015-4-3,Do I (really) have/need to (...) ?,,0,ncic_2015_eng_byeol14_hwp
90,CF-2015-4-3,Is it necessary to ... ?,,0,ncic_2015_eng_byeol14_hwp
91,CF-2015-4-4,You have to/must ... .,,0,ncic_2015_eng_byeol14_hwp
92,CF-2015-4-4,You should/ought to ... .,,0,ncic_2015_eng_byeol14_hwp
93,CF-2015-4-4,It is required to ... .,,0,ncic_2015_eng_byeol14_hwp
94,CF-2015-4-4,You’re expected to ... .,,0,ncic_2015_eng_byeol14_hwp
95,CF-2015-4-5,I don’t have to ... .,,0,ncic_2015_eng_byeol14_hwp
96,CF-2015-4-5,I don’t need to ... .,,0,ncic_2015_eng_byeol14_hwp
97,CF-2015-4-5,There’s no reason why I should ... .,,0,ncic_2015_eng_byeol14_hwp
98,CF-2015-4-6,May/Can I ... ?,,1,ncic_2015_eng_byeol14_hwp
99,CF-2015-4-6,Is it all right/okay if ... ?,,0,ncic_2015_eng_byeol14_hwp
100,CF-2015-4-6,Do you mind if ... ?,,0,ncic_2015_eng_byeol14_hwp
101,CF-2015-4-6,I wonder if I could ... .,,0,ncic_2015_eng_byeol14_hwp
102,CF-2015-4-7,"(Yes,) you may/can ... .",,1,ncic_2015_eng_byeol14_hwp
103,CF-2015-4-7,Of course.,,1,ncic_2015_eng_byeol14_hwp
104,CF-2015-4-7,Sure./Okay./All right.,,1,ncic_2015_eng_byeol14_hwp
105,CF-2015-4-7,I don’t mind (at all).,,0,ncic_2015_eng_byeol14_hwp
106,CF-2015-4-8,"No, you can’t.",,1,ncic_2015_eng_byeol14_hwp
107,CF-2015-4-8,You must not/may not ... .,,0,ncic_2015_eng_byeol14_hwp
108,CF-2015-4-8,(I’m afraid) it’s/that’s not possible.,,0,ncic_2015_eng_byeol14_hwp
109,CF-2015-4-8,You’re not allowed/supposed to ... .,,0,ncic_2015_eng_byeol14_hwp
110,CF-2015-4-9,Can you ... ?,,1,ncic_2015_eng_byeol14_hwp
111,CF-2015-4-9,Do you know how to ... ?,,0,ncic_2015_eng_byeol14_hwp
112,CF-2015-4-9,Are you good at ... ?,,0,ncic_2015_eng_byeol14_hwp
113,CF-2015-4-10,"(Sure/Yes,) I can ... .",,1,ncic_2015_eng_byeol14_hwp
114,CF-2015-4-10,I was able to ... .,,0,ncic_2015_eng_byeol14_hwp
115,CF-2015-4-10,I know how to ... .,,0,ncic_2015_eng_byeol14_hwp
116,CF-2015-4-10,I’m (pretty) good at ... .,,0,ncic_2015_eng_byeol14_hwp
117,CF-2015-4-11,I can’t ... .,,1,ncic_2015_eng_byeol14_hwp
118,CF-2015-4-11,I don’t know how to ... .,,0,ncic_2015_eng_byeol14_hwp
119,CF-2015-4-11,I’m not good at ... .,,0,ncic_2015_eng_byeol14_hwp
120,CF-2015-5-1,I want (to) ... .,,1,ncic_2015_eng_byeol14_hwp
121,CF-2015-5-1,I’d like ... .,,1,ncic_2015_eng_byeol14_hwp
122,CF-2015-5-1,I look/am looking forward to ... .,,0,ncic_2015_eng_byeol14_hwp
123,CF-2015-5-1,I wish I could ... .,,0,ncic_2015_eng_byeol14_hwp
124,CF-2015-5-2,Do you want (to) ... ?,,1,ncic_2015_eng_byeol14_hwp
125,CF-2015-5-2,Would you like ... ?,,1,ncic_2015_eng_byeol14_hwp
126,CF-2015-5-2,Do you wish (you could) ... ?,,0,ncic_2015_eng_byeol14_hwp
127,CF-2015-5-2,Are you looking forward to ... ?,,0,ncic_2015_eng_byeol14_hwp
128,CF-2015-5-3,I’ll ... .,,0,ncic_2015_eng_byeol14_hwp
129,CF-2015-5-3,I’m going to ... .,,0,ncic_2015_eng_byeol14_hwp
130,CF-2015-5-3,I’m thinking of ... .,,0,ncic_2015_eng_byeol14_hwp
131,CF-2015-5-3,I’m planning to ... .,,0,ncic_2015_eng_byeol14_hwp
132,CF-2015-5-4,Will you ... ?,,0,ncic_2015_eng_byeol14_hwp
133,CF-2015-5-4,Are you going to ... ?,,0,ncic_2015_eng_byeol14_hwp
134,CF-2015-5-4,Are you thinking of ... ?,,0,ncic_2015_eng_byeol14_hwp
135,CF-2015-5-4,Are you planning to ... ?,,0,ncic_2015_eng_byeol14_hwp
136,CF-2015-6-1,That’s great!,,1,ncic_2015_eng_byeol14_hwp
137,CF-2015-6-1,I’m/I feel (very/so) happy/glad.,,1,ncic_2015_eng_byeol14_hwp
138,CF-2015-6-1,I’m (very) glad/delighted to ... .,,0,ncic_2015_eng_byeol14_hwp
139,CF-2015-6-2,How sad.,,1,ncic_2015_eng_byeol14_hwp
140,CF-2015-6-2,I’m/I feel (very/so) sad/unhappy.,,1,ncic_2015_eng_byeol14_hwp
141,CF-2015-6-2,That makes me (really) sad.,,0,ncic_2015_eng_byeol14_hwp
142,CF-2015-6-3,Are you happy/sad?,,1,ncic_2015_eng_byeol14_hwp
143,CF-2015-6-3,Are you all right?,,1,ncic_2015_eng_byeol14_hwp
144,CF-2015-6-3,How are you feeling?,,0,ncic_2015_eng_byeol14_hwp
145,CF-2015-6-4,What’s wrong?,,1,ncic_2015_eng_byeol14_hwp
146,CF-2015-6-4,What’s the matter?,,0,ncic_2015_eng_byeol14_hwp
147,CF-2015-6-4,Why are you sad/disappointed?,,0,ncic_2015_eng_byeol14_hwp
148,CF-2015-6-5,Don’t worry.,,1,ncic_2015_eng_byeol14_hwp
149,CF-2015-6-5,(Come on!) Cheer up!,,1,ncic_2015_eng_byeol14_hwp
150,CF-2015-6-5,Things will be better (soon).,,0,ncic_2015_eng_byeol14_hwp
151,CF-2015-6-5,Don’t be disappointed/discouraged.,,0,ncic_2015_eng_byeol14_hwp
152,CF-2015-6-6,That’s too bad.,,1,ncic_2015_eng_byeol14_hwp
153,CF-2015-6-6,I’m (so/very) sorry to hear ... .,,0,ncic_2015_eng_byeol14_hwp
154,CF-2015-6-6,That’s a pity/shame.,,0,ncic_2015_eng_byeol14_hwp
155,CF-2015-6-7,I hope ... .,,0,ncic_2015_eng_byeol14_hwp
156,CF-2015-6-7,I’m looking forward to ... .,,0,ncic_2015_eng_byeol14_hwp
157,CF-2015-6-7,I can’t wait for ... .,,0,ncic_2015_eng_byeol14_hwp
158,CF-2015-6-8,I’m/I feel (very) disappointed.,,0,ncic_2015_eng_byeol14_hwp
159,CF-2015-6-8,That’s very disappointing.,,0,ncic_2015_eng_byeol14_hwp
160,CF-2015-6-8,What a pity/shame!,,0,ncic_2015_eng_byeol14_hwp
161,CF-2015-6-9,I’m worried (about ...).,,0,ncic_2015_eng_byeol14_hwp
162,CF-2015-6-9,I’m (rather) worried/anxious,,0,ncic_2015_eng_byeol14_hwp
163,CF-2015-6-9,(about ...).,,0,ncic_2015_eng_byeol14_hwp
164,CF-2015-6-9,I’m scared/frightened/terrified,,0,ncic_2015_eng_byeol14_hwp
165,CF-2015-6-9,(to ...).,,0,ncic_2015_eng_byeol14_hwp
166,CF-2015-6-10,Are you afraid/scared/frightened of ... ?,,0,ncic_2015_eng_byeol14_hwp
167,CF-2015-6-10,Are you worried/concerned/anxious about ... ?,,0,ncic_2015_eng_byeol14_hwp
168,CF-2015-6-11,Don’t be frightened.,,0,ncic_2015_eng_byeol14_hwp
169,CF-2015-6-11,(I’m sure) everything will be okay/all right.,,0,ncic_2015_eng_byeol14_hwp
170,CF-2015-6-12,That’s a relief.,,0,ncic_2015_eng_byeol14_hwp
171,CF-2015-6-12,What a relief!,,0,ncic_2015_eng_byeol14_hwp
172,CF-2015-6-12,Thank goodness.,,0,ncic_2015_eng_byeol14_hwp
173,CF-2015-6-12,I’m relieved/glad to hear ... .,,0,ncic_2015_eng_byeol14_hwp
174,CF-2015-6-13,I like/love (to) ... .,,1,ncic_2015_eng_byeol14_hwp
175,CF-2015-6-13,I enjoy ... (very much).,,0,ncic_2015_eng_byeol14_hwp
176,CF-2015-6-13,... is (very) good/nice/pleasant.,,0,ncic_2015_eng_byeol14_hwp
177,CF-2015-6-14,I don’t like (to) ... .,,1,ncic_2015_eng_byeol14_hwp
178,CF-2015-6-14,I hate (to) ... .,,0,ncic_2015_eng_byeol14_hwp
179,CF-2015-6-15,Do you like ... ?,,1,ncic_2015_eng_byeol14_hwp
180,CF-2015-6-15,What do you like?,,1,ncic_2015_eng_byeol14_hwp
181,CF-2015-6-15,What’s your favorite ... ?,,0,ncic_2015_eng_byeol14_hwp
182,CF-2015-6-16,I prefer X to Y.,,0,ncic_2015_eng_byeol14_hwp
183,CF-2015-6-16,I(’d) prefer (to) ... (if possible).,,0,ncic_2015_eng_byeol14_hwp
184,CF-2015-6-16,I think X is better than/preferable to Y.,,0,ncic_2015_eng_byeol14_hwp
185,CF-2015-6-17,Which do you prefer?,,0,ncic_2015_eng_byeol14_hwp
186,CF-2015-6-17,Do you prefer X to/or Y?,,0,ncic_2015_eng_byeol14_hwp
187,CF-2015-6-17,Do you like X better/more than Y?,,0,ncic_2015_eng_byeol14_hwp
188,CF-2015-6-18,Good!/Fine!/Excellent!,,1,ncic_2015_eng_byeol14_hwp
189,CF-2015-6-18,I’m (very) satisfied.,,0,ncic_2015_eng_byeol14_hwp
190,CF-2015-6-18,That’ll do.,,0,ncic_2015_eng_byeol14_hwp
191,CF-2015-6-19,I’m not satisfied/happy (with ...).,,0,ncic_2015_eng_byeol14_hwp
192,CF-2015-6-19,That won’t do.,,0,ncic_2015_eng_byeol14_hwp
193,CF-2015-6-19,This won’t work.,,0,ncic_2015_eng_byeol14_hwp
194,CF-2015-6-20,Are you satisfied/happy (with ...)?,,0,ncic_2015_eng_byeol14_hwp
195,CF-2015-6-20,How do you like/find ... ?,,0,ncic_2015_eng_byeol14_hwp
196,CF-2015-6-20,Is this what you want(ed)/need/ meant/had in mind?,,0,ncic_2015_eng_byeol14_hwp
197,CF-2015-6-21,It’s not fair.,,0,ncic_2015_eng_byeol14_hwp
198,CF-2015-6-21,I’m not happy about ... .,,0,ncic_2015_eng_byeol14_hwp
199,CF-2015-6-21,I want to complain about ... .,,0,ncic_2015_eng_byeol14_hwp
200,CF-2015-6-21,You can’t possibly ... .,,0,ncic_2015_eng_byeol14_hwp
201,CF-2015-6-22,I’m/I feel angry.,,1,ncic_2015_eng_byeol14_hwp
202,CF-2015-6-22,I’m (rather/quite/very) upset/ annoyed (about ...).,,0,ncic_2015_eng_byeol14_hwp
203,CF-2015-6-22,I can’t stand ... .,,0,ncic_2015_eng_byeol14_hwp
204,CF-2015-6-22,... is (very) annoying/irritating.,,0,ncic_2015_eng_byeol14_hwp
205,CF-2015-6-23,Calm down!,,0,ncic_2015_eng_byeol14_hwp
206,CF-2015-6-23,Don’t get so angry/worked up!,,0,ncic_2015_eng_byeol14_hwp
207,CF-2015-6-23,There’s nothing to get angry about.,,0,ncic_2015_eng_byeol14_hwp
208,CF-2015-6-24,I’m interested in ... .,,0,ncic_2015_eng_byeol14_hwp
209,CF-2015-6-24,... interests me (a lot/greatly).,,0,ncic_2015_eng_byeol14_hwp
210,CF-2015-6-24,I’m fascinated by ... .,,0,ncic_2015_eng_byeol14_hwp
211,CF-2015-6-24,How interesting!,,0,ncic_2015_eng_byeol14_hwp
212,CF-2015-6-25,I’m not (very) interested in ... .,,0,ncic_2015_eng_byeol14_hwp
213,CF-2015-6-25,I don’t have any/much interest in ... .,,0,ncic_2015_eng_byeol14_hwp
214,CF-2015-6-25,How boring!,,0,ncic_2015_eng_byeol14_hwp
215,CF-2015-6-26,Are you interested in ... ?,,0,ncic_2015_eng_byeol14_hwp
216,CF-2015-6-26,What are you interested in?,,0,ncic_2015_eng_byeol14_hwp
217,CF-2015-6-26,Do you find X interesting?,,0,ncic_2015_eng_byeol14_hwp
218,CF-2015-6-27,What a surprise!,,1,ncic_2015_eng_byeol14_hwp
219,CF-2015-6-27,That’s/It’s surprising!,,0,ncic_2015_eng_byeol14_hwp
220,CF-2015-6-27,I (just) can’t believe this.,,0,ncic_2015_eng_byeol14_hwp
221,CF-2015-6-27,I’m surprised that ... .,,0,ncic_2015_eng_byeol14_hwp
222,CF-2015-6-28,Were you surprised?,,0,ncic_2015_eng_byeol14_hwp
223,CF-2015-6-28,Does that surprise you?,,0,ncic_2015_eng_byeol14_hwp
224,CF-2015-6-28,Are you surprised that ... ?,,0,ncic_2015_eng_byeol14_hwp
225,CF-2015-7-1,You should/ought to ... .,,0,ncic_2015_eng_byeol14_hwp
226,CF-2015-7-1,It’s right/wrong to ... .,,0,ncic_2015_eng_byeol14_hwp
227,CF-2015-7-1,You must ... .,,0,ncic_2015_eng_byeol14_hwp
228,CF-2015-7-1,You have to/have got to ... .,,0,ncic_2015_eng_byeol14_hwp
229,CF-2015-7-1,You’re supposed to ... .,,0,ncic_2015_eng_byeol14_hwp
230,CF-2015-7-2,(Very) good.,,1,ncic_2015_eng_byeol14_hwp
231,CF-2015-7-2,That’s fine/excellent.,,1,ncic_2015_eng_byeol14_hwp
232,CF-2015-7-2,Well done!,,1,ncic_2015_eng_byeol14_hwp
233,CF-2015-7-2,You were (quite) right to ... .,,0,ncic_2015_eng_byeol14_hwp
234,CF-2015-7-3,That’s/It’s not (very) good/nice.,,1,ncic_2015_eng_byeol14_hwp
235,CF-2015-7-3,You shouldn’t/oughtn’t to have done that.,,0,ncic_2015_eng_byeol14_hwp
236,CF-2015-7-3,I don’t/can’t approve (of ...).,,0,ncic_2015_eng_byeol14_hwp
237,CF-2015-7-3,You ought to be ashamed (of yourself).,,0,ncic_2015_eng_byeol14_hwp
238,CF-2015-7-4,How’s this?,,1,ncic_2015_eng_byeol14_hwp
239,CF-2015-7-4,What do you think of ... ?,,0,ncic_2015_eng_byeol14_hwp
240,CF-2015-7-4,How do you find ... ?,,0,ncic_2015_eng_byeol14_hwp
241,CF-2015-7-4,Do you approve (of) ... ?,,0,ncic_2015_eng_byeol14_hwp
242,CF-2015-7-5,It’s (all) your fault.,,0,ncic_2015_eng_byeol14_hwp
243,CF-2015-7-5,You’re to blame.,,0,ncic_2015_eng_byeol14_hwp
244,CF-2015-7-5,It’s (all) my fault.,,0,ncic_2015_eng_byeol14_hwp
245,CF-2015-7-5,It’s (all) because of you.,,0,ncic_2015_eng_byeol14_hwp
246,CF-2015-7-6,It isn’t/wasn’t my fault.,,0,ncic_2015_eng_byeol14_hwp
247,CF-2015-7-6,Don’t blame me.,,0,ncic_2015_eng_byeol14_hwp
248,CF-2015-7-6,It was a(n honest) mistake.,,0,ncic_2015_eng_byeol14_hwp
249,CF-2015-7-7,(I’m so/very) sorry (about that).,,1,ncic_2015_eng_byeol14_hwp
250,CF-2015-7-7,Please forgive me.,,0,ncic_2015_eng_byeol14_hwp
251,CF-2015-7-7,I apologize.,,0,ncic_2015_eng_byeol14_hwp
252,CF-2015-7-8,Not at all.,,1,ncic_2015_eng_byeol14_hwp
253,CF-2015-7-8,(That’s/It’s) okay.,,1,ncic_2015_eng_byeol14_hwp
254,CF-2015-7-8,Forget it.,,1,ncic_2015_eng_byeol14_hwp
255,CF-2015-7-8,It doesn’t matter.,,1,ncic_2015_eng_byeol14_hwp
256,CF-2015-7-8,No problem.,,0,ncic_2015_eng_byeol14_hwp
257,CF-2015-7-8,Never mind.,,0,ncic_2015_eng_byeol14_hwp
258,CF-2015-8-1,Let’s ... .,,1,ncic_2015_eng_byeol14_hwp
259,CF-2015-8-1,What/How about ... ?,,1,ncic_2015_eng_byeol14_hwp
260,CF-2015-8-1,Why don’t we/you ... ?,,0,ncic_2015_eng_byeol14_hwp
261,CF-2015-8-1,Can you make it (at ten)?,,0,ncic_2015_eng_byeol14_hwp
262,CF-2015-8-1,You’d better ... .,,0,ncic_2015_eng_byeol14_hwp
263,CF-2015-8-1,(I think) you should/ought to ... .,,0,ncic_2015_eng_byeol14_hwp
264,CF-2015-8-1,Would you like (me) to ... ?,,0,ncic_2015_eng_byeol14_hwp
265,CF-2015-8-1,I suggest (that) we ... .,,0,ncic_2015_eng_byeol14_hwp
266,CF-2015-8-2,Can I help you?,,1,ncic_2015_eng_byeol14_hwp
267,CF-2015-8-2,Let me help you.,,0,ncic_2015_eng_byeol14_hwp
268,CF-2015-8-2,Can I give you a hand?,,0,ncic_2015_eng_byeol14_hwp
269,CF-2015-8-3,"(Please,) open the door.",,1,ncic_2015_eng_byeol14_hwp
270,CF-2015-8-3,"Can you ...(, please)?",,0,ncic_2015_eng_byeol14_hwp
271,CF-2015-8-3,Could I ask you to ... ?,,0,ncic_2015_eng_byeol14_hwp
272,CF-2015-8-3,Do/Would you mind closing the window?,,0,ncic_2015_eng_byeol14_hwp
273,CF-2015-8-4,Yes!/Okay!,,1,ncic_2015_eng_byeol14_hwp
274,CF-2015-8-4,Sure!/All right!,,1,ncic_2015_eng_byeol14_hwp
275,CF-2015-8-4,No problem.,,1,ncic_2015_eng_byeol14_hwp
276,CF-2015-8-4,(That) sounds good.,,1,ncic_2015_eng_byeol14_hwp
277,CF-2015-8-4,"Sorry ..., but ... .",,1,ncic_2015_eng_byeol14_hwp
278,CF-2015-8-4,"No, thank you.",,1,ncic_2015_eng_byeol14_hwp
279,CF-2015-8-4,"Thank you, but ... .",,0,ncic_2015_eng_byeol14_hwp
280,CF-2015-8-4,(I’m) sorry but I can’t.,,0,ncic_2015_eng_byeol14_hwp
281,CF-2015-8-4,I’m afraid I can’t ... .,,0,ncic_2015_eng_byeol14_hwp
282,CF-2015-8-5,(I think) you should/ought to ... .,,0,ncic_2015_eng_byeol14_hwp
283,CF-2015-8-5,Why don’t you ... ?,,0,ncic_2015_eng_byeol14_hwp
284,CF-2015-8-5,You’d better ... .,,0,ncic_2015_eng_byeol14_hwp
285,CF-2015-8-5,"If I were you, I’d ... .",,0,ncic_2015_eng_byeol14_hwp
286,CF-2015-8-6,Do you think I should ... ?,,0,ncic_2015_eng_byeol14_hwp
287,CF-2015-8-6,Can I get your advice on ... ?,,0,ncic_2015_eng_byeol14_hwp
288,CF-2015-8-6,What would you do if ... ?,,0,ncic_2015_eng_byeol14_hwp
289,CF-2015-8-7,Don’t ... .,,1,ncic_2015_eng_byeol14_hwp
290,CF-2015-8-7,Be careful.,,1,ncic_2015_eng_byeol14_hwp
291,CF-2015-8-7,Watch/Look out (for ...)!,,1,ncic_2015_eng_byeol14_hwp
292,CF-2015-8-7,Make sure you don’t ... .,,0,ncic_2015_eng_byeol14_hwp
293,CF-2015-8-8,"May/Can I ... (, please)?",,1,ncic_2015_eng_byeol14_hwp
294,CF-2015-8-8,Let me ... .,,0,ncic_2015_eng_byeol14_hwp
295,CF-2015-8-8,Do you mind if ... ?,,0,ncic_2015_eng_byeol14_hwp
296,CF-2015-8-8,Would it be possible ... ?,,0,ncic_2015_eng_byeol14_hwp
297,CF-2015-8-8,I was wondering if I could ... ?,,0,ncic_2015_eng_byeol14_hwp
298,CF-2015-8-9,Yes./Okay./All right.,,1,ncic_2015_eng_byeol14_hwp
299,CF-2015-8-9,Sure./Of course.,,1,ncic_2015_eng_byeol14_hwp
300,CF-2015-8-9,"(Yes,) you can.",,1,ncic_2015_eng_byeol14_hwp
301,CF-2015-8-9,"(No,) you can’t.",,1,ncic_2015_eng_byeol14_hwp
302,CF-2015-8-9,Not at all.,,0,ncic_2015_eng_byeol14_hwp
303,CF-2015-8-9,(I’m afraid) that’s/it’s not possible.,,0,ncic_2015_eng_byeol14_hwp
304,CF-2015-8-10,Don’t ... .,,1,ncic_2015_eng_byeol14_hwp
305,CF-2015-8-10,You mustn’t/can’t/shouldn’t ... .,,0,ncic_2015_eng_byeol14_hwp
306,CF-2015-8-10,You’d better not ... .,,0,ncic_2015_eng_byeol14_hwp
307,CF-2015-9-1,Hey!,,1,ncic_2015_eng_byeol14_hwp
308,CF-2015-9-1,"(Oh,) look/listen.",,1,ncic_2015_eng_byeol14_hwp
