id,category_l1,category_l2,description_ko,grade_band,curriculum_version,source_id
CF-2015-4-11,양상 표현하기,,능력 부인하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-5-1,의지 표현하기,,"바람, 소원, 요망 표현하기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-5-2,의지 표현하기,,"바람, 소원, 요망에 대해 묻기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-5-3,의지 표현하기,,의도 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-5-4,의지 표현하기,,의도 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-1,감정 표현하기,,기쁨 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-2,감정 표현하기,,슬픔 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-3,감정 표현하기,,기쁨이나 슬픔에 대해 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-4,감정 표현하기,,"슬픔, 불만족, 실망의 원인에 대해 묻기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-5,감정 표현하기,,낙담 위로하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-6,감정 표현하기,,유감이나 동정 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-7,감정 표현하기,,"희망, 기대 표현하기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-8,감정 표현하기,,실망 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-9,감정 표현하기,,"걱정, 두려움 표현하기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-10,감정 표현하기,,"걱정, 두려움 묻기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-11,감정 표현하기,,안심시키기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-12,감정 표현하기,,안도감 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-13,감정 표현하기,,좋아하는 것 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-14,감정 표현하기,,싫어하는 것 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-15,감정 표현하기,,좋아하는 것 또는 싫어하는 것 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-16,감정 표현하기,,선호 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-17,감정 표현하기,,선호에 대해 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-18,감정 표현하기,,만족 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-19,감정 표현하기,,불만족 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-20,감정 표현하기,,만족이나 불만족에 대해 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-21,감정 표현하기,,불평하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-22,감정 표현하기,,화냄 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-23,감정 표현하기,,화냄에 응대하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-24,감정 표현하기,,관심 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-25,감정 표현하기,,무관심 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-26,감정 표현하기,,관심에 대해 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-27,감정 표현하기,,놀람 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-6-28,감정 표현하기,,놀람 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-1,도덕적 태도 표현하기,,도덕적 의무 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-2,도덕적 태도 표현하기,,승인하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-3,도덕적 태도 표현하기,,거부하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-4,도덕적 태도 표현하기,,승인이나 거부 여부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-5,도덕적 태도 표현하기,,비난을 하거나 수용하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-6,도덕적 태도 표현하기,,비난 거부하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-7,도덕적 태도 표현하기,,사과하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-7-8,도덕적 태도 표현하기,,사과 수용하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-1,설득･권고하기,,제안･권유하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-2,설득･권고하기,,도움 제안하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-3,설득･권고하기,,요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-4,설득･권고하기,,"(도움) 제안, 권유, 요청에 답하기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-5,설득･권고하기,,충고하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-6,설득･권고하기,,충고 구하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-7,설득･권고하기,,경고하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-8,설득･권고하기,,허락 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-9,설득･권고하기,,허락 요청에 답하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-8-10,설득･권고하기,,금지하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-1,사교활동 하기,,주의 끌기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-2,사교활동 하기,,만날 때 인사하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-3,사교활동 하기,,안부 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-4,사교활동 하기,,안부 묻기에 답하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-5,사교활동 하기,,제삼자에게의 안부 부탁하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-6,사교활동 하기,,호칭하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-7,사교활동 하기,,자기소개하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-8,사교활동 하기,,다른 사람 소개하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-9,사교활동 하기,,소개에 답하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-10,사교활동 하기,,소개가 필요한지 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-11,사교활동 하기,,환영하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-12,사교활동 하기,,음식 권하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-13,사교활동 하기,,음식 권유에 답하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-14,사교활동 하기,,감사하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-15,사교활동 하기,,감사에 답하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-16,사교활동 하기,,"축하, 칭찬하기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-17,사교활동 하기,,격려하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-18,사교활동 하기,,"축하, 칭찬, 격려에 답하기",,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-19,사교활동 하기,,기원하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-9-20,사교활동 하기,,헤어질 때 인사하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-1,담화 구성하기,,주제 소개하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-2,담화 구성하기,,의견 표현하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-3,담화 구성하기,,의견 묻기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-4,담화 구성하기,,열거하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-5,담화 구성하기,,강조하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-6,담화 구성하기,,정의하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-7,담화 구성하기,,요약하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-8,담화 구성하기,,주제 바꾸기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-9,담화 구성하기,,이해 상태 나타내기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-10-11,담화 구성하기,,전화를 하거나 받기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-1,의사소통 개선하기,,천천히 말해 달라고 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-2,의사소통 개선하기,,반복 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-3,의사소통 개선하기,,반복해 주기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-4,의사소통 개선하기,,확인 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-5,의사소통 개선하기,,설명 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-6,의사소통 개선하기,,철자･필기 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-7,의사소통 개선하기,,철자 알려주기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-8,의사소통 개선하기,,표현 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-9,의사소통 개선하기,,표현 제안하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-10,의사소통 개선하기,,이해 점검하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-11,의사소통 개선하기,,오해 지적해 주기,,2015,ncic_2015_eng_byeol14_hwp
CF-2015-11-12,의사소통 개선하기,,생각할 시간 요청하기,,2015,ncic_2015_eng_byeol14_hwp
CF-2022-4-1,의지 표현하기,,"바람, 소원, 요망 표현하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-4-2,의지 표현하기,,의도 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-1,감정 표현하기,,"기쁨, 즐거움 표현하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-2,감정 표현하기,,"희망, 기대 표현하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-3,감정 표현하기,,"슬픔, 화 표현하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-4,감정 표현하기,,"불만족, 실망 표현하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-5,감정 표현하기,,"걱정, 두려움 표현하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-6,감정 표현하기,,감정이나 상태 묻기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-7,감정 표현하기,,위로하기와 안심시키기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-8,감정 표현하기,,유감이나 동정 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-9,감정 표현하기,,공감 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-10,감정 표현하기,,화냄에 응대하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-11,감정 표현하기,,안도감 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-12,감정 표현하기,,좋아하거나 싫어하는 것 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-13,감정 표현하기,,선호 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-14,감정 표현하기,,만족이나 불만족 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-15,감정 표현하기,,불평하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-16,감정 표현하기,,관심이나 무관심 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-5-17,감정 표현하기,,놀람 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-6-1,도덕적 태도 표현하기,,도덕적 의무 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-6-2,도덕적 태도 표현하기,,승인이나 거부 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-6-3,도덕적 태도 표현하기,,비난 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-1,설득⋅권고하기,,제안⋅권유하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-2,설득⋅권고하기,,도움 제안이나 요청하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-3,설득⋅권고하기,,"(도움) 제안, 권유, 요청에 답하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-4,설득⋅권고하기,,충고하거나 구하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-5,설득⋅권고하기,,허락 요청하고 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-6,설득⋅권고하기,,행동이나 방향 지시하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-7,설득⋅권고하기,,경고하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-7-8,설득⋅권고하기,,금지하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-1,사교 활동하기,,주의 끌기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-2,사교 활동하기,,만날 때 인사하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-3,사교 활동하기,,호칭하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-4,사교 활동하기,,안부 묻고 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-5,사교 활동하기,,제삼자에게 안부 부탁하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-6,사교 활동하기,,소개하기와 소개에 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-7,사교 활동하기,,소개가 필요한지 묻기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-8,사교 활동하기,,환영하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-9,사교 활동하기,,음식 권하고 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-10,사교 활동하기,,감사 표현하고 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-11,사교 활동하기,,사과하고 수용하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-12,사교 활동하기,,"축하, 칭찬하기",,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-13,사교 활동하기,,격려하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-14,사교 활동하기,,기원하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-1-15,사교 활동하기,,헤어질 때 인사하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-1,담화⋅글 구성하기,,대화 시작하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-2,담화⋅글 구성하기,,내용 시작⋅전환 알리기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-3,담화⋅글 구성하기,,주제 소개하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-4,담화⋅글 구성하기,,질문 요청⋅응대하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-5,담화⋅글 구성하기,,의견 묻거나 표현하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-6,담화⋅글 구성하기,,예시 들기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-7,담화⋅글 구성하기,,열거하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-8,담화⋅글 구성하기,,강조하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-9,담화⋅글 구성하기,,정의하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-10,담화⋅글 구성하기,,요약하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-11,담화⋅글 구성하기,,주제 바꾸기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-12,담화⋅글 구성하기,,대화에 끼어들기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-13,담화⋅글 구성하기,,대화 종료하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-2-14,담화⋅글 구성하기,,매체 사용하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-1,의사소통 개선하기,,반복 요청하고 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-2,의사소통 개선하기,,확인 요청하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-3,의사소통 개선하기,,설명 요청하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-4,의사소통 개선하기,,철자⋅필기 요청하고 답하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-5,의사소통 개선하기,,표현 요청하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-6,의사소통 개선하기,,표현 제안하기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-7,의사소통 개선하기,,이해 점검하기와 이해 상태 나타내기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-8,의사소통 개선하기,,오해 알리기,,2022,ncic_2022_eng_byeol14_hwp
CF-2022-3-9,의사소통 개선하기,,생각할 시간 요청하거나 주기,,2022,ncic_2022_eng_byeol14_hwp
