standard_id,standard_id_norm,curriculum_version,grade_band,grade_level,subject_code,subject_name_ko,domain_code,domain_name_ko,standard_text_ko,standard_text_en,cognitive_level,cefr_alignment,communication_function,grammar_elements,text_type,topic_tags,target_vocab_level,source_document,source_page,effective_date,verification_status,last_verified,notes
[10기영2-02-02],2022_10기영2-02-02,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,경험이나 사건을 묘사한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-03],2022_10기영2-02-03,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,자신의 의견이나 감정을 근거를 들어 표현한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-04],2022_10기영2-02-04,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,목적에 적합한 매체를 활용하여 정보를 전달한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-05],2022_10기영2-02-05,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,주어진 서식을 활용하여 말하거나 글을 쓴다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-06],2022_10기영2-02-06,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,말이나 글의 목적에 맞게 내용이나 표현을 점검하여 고쳐 쓴다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-07],2022_10기영2-02-07,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,적절한 말하기 또는 쓰기 전략을 적용하고 성찰한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[10기영2-02-08],2022_10기영2-02-08,2022,high,1-3학년,ENG,기본영어2,표현 ,표현 영역,의사소통 활동에 흥미와 자신감을 가지고 능동적으로 참여한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-01],2022_12미영01-01,2022,high,1-3학년,ENG,미디어 영어,,,영어 검색 엔진을 활용하여 필요한 정보를 찾아낸다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-02],2022_12미영01-02,2022,high,1-3학년,ENG,미디어 영어,,,다양한 주제에 대한 창의적 문제 해결을 위해 미디어를 활용하여 협업한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-03],2022_12미영01-03,2022,high,1-3학년,ENG,미디어 영어,,,미디어 정보에서 핵심어를 추출하여 내용을 요약하거나 재구성한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-04],2022_12미영01-04,2022,high,1-3학년,ENG,미디어 영어,,,"미디어 정보를 비판적 태도로 검색, 선정, 비교 및 분석한다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-05],2022_12미영01-05,2022,high,1-3학년,ENG,미디어 영어,,,목적이나 대상에 적합한 미디어를 활용하여 의견이나 정보를 공유한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-06],2022_12미영01-06,2022,high,1-3학년,ENG,미디어 영어,,,미디어 정보를 융합하고 적절한 도구를 활용하여 콘텐츠를 제작한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-07],2022_12미영01-07,2022,high,1-3학년,ENG,미디어 영어,,,미디어에서 접하는 다양한 시청각 단서를 이해하거나 적절하게 표현한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-08],2022_12미영01-08,2022,high,1-3학년,ENG,미디어 영어,,,미디어에 제시된 작품을 감상하고 다양한 관점에서 평가한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-09],2022_12미영01-09,2022,high,1-3학년,ENG,미디어 영어,,,미디어 정보를 창의적ㆍ비판적으로 처리하기 위해 정보의 출처를 확인하고 정보 보안을 준수한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12미영01-10],2022_12미영01-10,2022,high,1-3학년,ENG,미디어 영어,,,오류 수정을 위해 디지털 도구를 적절히 활용한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-01],2022_12세영01-01,2022,high,1-3학년,ENG,세계 문화와 영어,,,적절한 전략을 사용하여 다양한 장르와 매체의 문화 정보나 문화적 산물의 핵심 내용을 파악한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-02],2022_12세영01-02,2022,high,1-3학년,ENG,세계 문화와 영어,,,문화 관련 주요 개념을 적용하여 문화 현상을 분석하고 새로운 관점으로 설명한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-03],2022_12세영01-03,2022,high,1-3학년,ENG,세계 문화와 영어,,,타 문화 및 언어에 대한 존중을 바탕으로 문화 정보를 수용하고 자신의 의견을 표현한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-04],2022_12세영01-04,2022,high,1-3학년,ENG,세계 문화와 영어,,,문화 현상이나 문화적 산물을 비교ㆍ대조하여 문화의 보편성과 특수성을 파악한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-05],2022_12세영01-05,2022,high,1-3학년,ENG,세계 문화와 영어,,,"문화적 산물이나 문화 현상에 내재된 문화적 전제, 관점 또는 가치관을 추론한다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-06],2022_12세영01-06,2022,high,1-3학년,ENG,세계 문화와 영어,,,"다른 문화권의 관습, 규범, 가치, 사고방식, 행동 양식 또는 의사소통 방식을 이해하고 자신의 문화 인식 및 관점을 비판적으로 성찰한다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-07],2022_12세영01-07,2022,high,1-3학년,ENG,세계 문화와 영어,,,자발적ㆍ지속적 관심과 흥미를 가지고 다양한 문화적 산물을 감상하고 표현한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-08],2022_12세영01-08,2022,high,1-3학년,ENG,세계 문화와 영어,,,세계 영어에 대한 이해를 바탕으로 적절한 전략과 태도를 갖추어 의사소통에 참여한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-09],2022_12세영01-09,2022,high,1-3학년,ENG,세계 문화와 영어,,,다양한 장르와 매체에서 검색ㆍ수집한 문화 정보를 요약하거나 목적에 맞게 재구성한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12세영01-10],2022_12세영01-10,2022,high,1-3학년,ENG,세계 문화와 영어,,,정보 윤리를 준수하여 다양한 목적의 문화 콘텐츠를 제작하여 공유한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-01],2015_12실영01-01,2015,high,1-3학년,ENG,실용 영어,듣기 ,듣기 영역,"실생활 중심의 다양한 주제에 관한 방송, 광고, 안내 등을 듣고 세부 정보를 파악할 수 있다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-02],2015_12실영01-02,2015,high,1-3학년,ENG,실용 영어,듣기 ,듣기 영역,실생활 중심의 다양한 주제에 관한 말이나 대화를 듣고 주제 및 요지를 파악할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-03],2015_12실영01-03,2015,high,1-3학년,ENG,실용 영어,듣기 ,듣기 영역,실생활 중심의 다양한 주제에 관한 말이나 대화를 듣고 내용의 논리적 관계를 파악할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-04],2015_12실영01-04,2015,high,1-3학년,ENG,실용 영어,듣기 ,듣기 영역,실생활 중심의 다양한 주제에 관한 말이나 대화를 듣고 화자의 의도나 말의 목적을 파악할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-05],2022_12실영01-05,2022,high,1-3학년,ENG,실생활 영어 회화,,,실생활에 관한 경험이나 사건 또는 간단한 시각 자료를 묘사한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-06],2022_12실영01-06,2022,high,1-3학년,ENG,실생활 영어 회화,,,실생활에 필요한 일의 방법이나 절차를 설명한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-07],2022_12실영01-07,2022,high,1-3학년,ENG,실생활 영어 회화,,,실생활에서 상황이나 목적에 맞게 대화를 이어 간다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-08],2022_12실영01-08,2022,high,1-3학년,ENG,실생활 영어 회화,,,의사소통 상황이나 목적에 맞게 언어적ㆍ비언어적 표현을 사용하여 반응한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영01-09],2022_12실영01-09,2022,high,1-3학년,ENG,실생활 영어 회화,,,의사소통 상황이나 목적에 맞게 적절한 전략을 적용하여 대화에 참여한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영02-01],2015_12실영02-01,2015,high,1-3학년,ENG,실용 영어,말하기,말하기 영역,실생활 중심의 다양한 주제에 관하여 듣거나 읽고 세부 정보를 설명할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영02-02],2015_12실영02-02,2015,high,1-3학년,ENG,실용 영어,말하기,말하기 영역,실생활 중심의 다양한 주제에 관하여 듣거나 읽고 중심 내용을 말할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영02-03],2015_12실영02-03,2015,high,1-3학년,ENG,실용 영어,말하기,말하기 영역,실생활 중심의 다양한 주제에 관해 자신의 의견이나 감정을 표현할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영02-04],2015_12실영02-04,2015,high,1-3학년,ENG,실용 영어,말하기,말하기 영역,실생활 중심의 다양한 주제에 관한 정보를 묻고 답할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영02-05],2015_12실영02-05,2015,high,1-3학년,ENG,실용 영어,말하기,말하기 영역,"실생활 중심의 다양한 주제에 관해 그림, 도표, 서식 등을 활용하여 설명할 수 있다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영03-01],2015_12실영03-01,2015,high,1-3학년,ENG,실용 영어,읽기 ,읽기 영역,"실생활 중심의 다양한 주제에 관한 광고, 안내문 등을 읽고 세부 정보를 파악할 수 있다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영03-02],2015_12실영03-02,2015,high,1-3학년,ENG,실용 영어,읽기 ,읽기 영역,실생활 중심의 다양한 주제에 관한 글을 읽고 주제 및 요지를 파악할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영03-03],2015_12실영03-03,2015,high,1-3학년,ENG,실용 영어,읽기 ,읽기 영역,실생활 중심의 다양한 주제에 관한 글을 읽고 내용의 논리적 관계를 파악할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영03-04],2015_12실영03-04,2015,high,1-3학년,ENG,실용 영어,읽기 ,읽기 영역,실생활 중심의 다양한 주제에 관한 글을 읽고 필자의 의도나 글의 목적을 파악할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영04-01],2015_12실영04-01,2015,high,1-3학년,ENG,실용 영어,쓰기 ,쓰기 영역,실생활 중심의 다양한 주제에 관하여 듣거나 읽고 필요한 정보를 기록할 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영04-02],2015_12실영04-02,2015,high,1-3학년,ENG,실용 영어,쓰기 ,쓰기 영역,실생활 중심의 다양한 주제에 관해 자신의 의견이나 감정을 쓸 수 있다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영04-03],2015_12실영04-03,2015,high,1-3학년,ENG,실용 영어,쓰기 ,쓰기 영역,"서식, 이메일, 메모 등을 상황과 목적에 맞게 작성할 수 있다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12실영04-04],2015_12실영04-04,2015,high,1-3학년,ENG,실용 영어,쓰기 ,쓰기 영역,"실생활 중심의 다양한 주제에 관한 그림, 도표 등을 간단히 설명하는 글을 쓸 수 있다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-01],2022_12심독01-01,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,다양한 분야의 기초 학문 주제에 관한 글을 읽고 주요 내용을 파악한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-02],2022_12심독01-02,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,이야기나 서사 및 운문을 읽고 필자나 등장인물의 심정이나 의도를 추론한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-03],2022_12심독01-03,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,글의 구성 방식을 고려하여 논리적 관계를 추론한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-04],2022_12심독01-04,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,글의 맥락과 배경지식을 활용하여 함축적 의미를 추론한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-05],2022_12심독01-05,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,다양한 문학 작품을 읽고 문학적 표현과 의미를 파악한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-06],2022_12심독01-06,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,다양한 유형의 글의 구조와 형식을 비교ㆍ분석한다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-07],2022_12심독01-07,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,다양한 매체의 글의 내용 타당성을 평가하며 비판적으로 읽는다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-08],2022_12심독01-08,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,"우리 문화 및 타 문화의 생활 양식, 사고방식, 의사소통 방식에 관한 글을 읽고 문화 간 차이에 대해 포용적인 태도를 갖춘다.",,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독01-09],2022_12심독01-09,2022,high,1-3학년,ENG,심화 영어 독해와 작문,독해,독해,적절한 읽기 전략을 적용하여 스스로 읽기 과정을 점검하며 읽는다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
[12심독02-01],2022_12심독02-01,2022,high,1-3학년,ENG,심화 영어 독해와 작문,작문,작문,다양한 분야의 기초 학문 주제에 관하여 사실적 정보를 기술하거나 설명하는 글을 쓴다.,,,,,,,,,KICE STAS 학생평가지원포털 (stas.moe.go.kr),,,kice_verified,2026-07-04,STAS API 자동수집. 원천 대조(별책14) 필요. course=영어 | NCIC 성취수준 문서 코드·문구 실재 확인
